trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2131829,9,249667,Trenton Station,"3857",1,3857,109,
2131471,9,249232,Penn Station New York,"3862",0,3862,9,
2132039,9,249232,Trenton Station,"3867",1,3867,109,
2134122,9,249283,Penn Station New York,"3872",0,3872,9,
2131821,9,249232,Penn Station New York,"3874",0,3874,9,
2132064,9,249232,Trenton Station,"3877",1,3877,109,
2131649,9,249232,Trenton Station,"3883",1,3883,109,
2131848,9,249232,Trenton Station,"3887",1,3887,109,
2131846,9,249232,Penn Station New York,"3892",0,3892,9,
2133872,9,249283,Penn Station New York,"3910",0,3910,9,
2132904,9,249232,Trenton Station,"3917",1,3917,109,
2134089,9,249283,Penn Station New York,"3926",0,3926,9,
2131479,9,249232,Penn Station New York,"3934",0,3934,9,
2132093,9,249232,Trenton Station,"3947",1,3947,109,
2131872,9,249232,Trenton Station,"3953",1,3953,109,
2133227,9,249232,Trenton Station,"3961",1,3961,109,
2132063,9,249232,Trenton Station,"3979",1,3979,109,
2131600,14,249232,Princeton Station,"4145",1,4145,114,
2132509,14,249235,Princeton Station,"4259",1,4259,114,
2132427,14,249235,Princeton Junction,"4238",0,4238,14,
2132326,8,249235,Gladstone,"0711",1,0711,108,
2132048,10,249683,Penn Station New York,"3276",0,3276,20,
2132123,10,249232,Penn Station New York,"3230",0,3230,20,
2131969,10,249232,Bay Head,"4351",1,4351,110,
2131229,10,249232,Bay Head,"4315",1,4315,110,
2131228,1,249232,Philadelphia 30th St.,"4616",1,4616,101,
2131226,1,249232,Philadelphia 30th St.,"4612",1,4612,101,
2131718,9,249232,Penn Station New York,"3834",0,3834,9,
2132079,9,249232,Penn Station New York,"3914",0,3914,9,
2134588,7,249361,Summit,"0955",1,0955,107,
2131877,6,249508,Hoboken,"1114",0,1114,25,
2135389,14,249283,Princeton Junction,"4110",0,4110,14,
2132103,14,249232,Princeton Station,"4161",1,4161,114,
2132443,14,249235,Princeton Station,"4275",1,4275,114,
2131833,7,249232,Hoboken,"0872",0,0872,7,
2137446,10,249685,Bay Head,"3373",1,3373,120,
2131777,9,249232,Penn Station New York,"3836",0,3836,9,
2131850,9,249232,Trenton Station,"3893",1,3893,109,
2131647,14,249232,Princeton Station,"4155",1,4155,114,
2131219,14,249232,Princeton Station,"4157",1,4157,114,
2131593,14,249232,Princeton Junction,"4160",0,4160,14,
